,NPPz DJF,NPPz MAM,NPPz JJA,NPPz SON
RCP45_2006,24.351034138588194,51.17545038415788,29.97150841075191,13.275588102931621
RCP45_2007,24.6810035018129,62.4485714616011,31.453009355737564,13.040124732157068
RCP45_2008,26.816183119707773,58.70365001059114,29.562659214180357,12.274916876381312
RCP45_2009,22.64079938755492,54.3818681508754,29.50202758908188,11.824534655999761
RCP45_2010,21.536751829055916,54.35376338149499,31.37980141649304,15.584399336881697
RCP45_2011,30.05356096386882,58.99140752231702,28.719016941543938,12.066157767832529
RCP45_2012,22.878542161672836,61.95963555241564,27.31888986139498,12.54013518058788
RCP45_2013,25.54065419710855,63.13268093495284,29.704961257874277,13.544564388591652
RCP45_2014,26.51750079187484,71.75023414722406,30.61902505639752,13.546387541695516
RCP45_2015,23.612667000978146,63.38706979922065,35.8415070700815,13.33405212576749
RCP45_2016,24.361711980252654,70.32733352347445,29.44172877803977,15.81159958968629
RCP45_2017,24.70211628355695,63.11877011441221,30.17454587367293,13.580435431221
RCP45_2018,27.83863105351067,59.239579418181535,28.460619824617016,13.649942849541178
RCP45_2019,24.3013839375087,62.23725326798984,33.98918386459673,14.443521936646576
RCP45_2020,19.595107464667972,54.83528154965803,29.860072821265863,13.848332138028487
RCP45_2021,23.552788555405073,49.91356516342747,29.325681672809385,13.585501355843116
RCP45_2022,19.434108693257432,55.55048496397159,30.362311194770417,15.361944693055039
RCP45_2023,26.96020997184621,67.71932892696317,30.907911706281926,15.736874230006132
RCP45_2024,18.20117671464376,69.988044003865,33.092625722982774,14.173449680150242
RCP45_2025,24.61687372188173,59.54202305949237,31.629824275690257,11.514893190145218
RCP45_2026,19.089029080113747,56.32312691080947,36.22855264395583,13.047277855879253
RCP45_2027,24.65428532587268,63.68860959396008,32.01630051499827,13.001264741959524
RCP45_2028,24.795553923777685,60.52218269830929,28.890474001486535,13.465573892860244
RCP45_2029,23.097538184419605,61.75107784882746,30.58751501210462,12.90097164177188
RCP45_2030,17.82501300792283,61.302434329412016,30.634589668945665,14.244246923918714
RCP45_2031,28.532818872623363,49.64441485989882,32.5894416301078,13.756083255230275
RCP45_2032,22.911392127117953,78.72065905830677,35.24465738807039,12.487268863790908
RCP45_2033,23.268640006911756,61.946102015652514,34.66770261083681,15.076562352917984
RCP45_2034,24.08021902537004,49.189611446456404,34.481568377916325,15.072758607761749
RCP45_2035,25.05113323544371,56.47364313223764,29.82751903313459,12.69084875691025
RCP45_2036,21.127487654726906,71.03940091262847,30.10722561789815,14.509176471375874
RCP45_2037,28.70020797712472,49.769535806620986,26.21060447450778,16.982999339349018
RCP45_2038,25.28660560447467,62.73924747898112,31.874380460255555,13.306541706270641
RCP45_2039,25.149060088467326,56.85976664253453,29.425405075101995,12.356228253414173
RCP45_2040,22.19263406366777,55.91883374217181,29.548666023557804,12.367336721665893
RCP45_2041,20.491577395423786,61.306781552903,28.47798177966241,11.23899833644033
RCP45_2042,22.560657655403546,67.59686039187983,30.286801424206264,12.405195129997681
RCP45_2043,22.1605442059855,69.16929310936133,34.21407357635325,16.829891806378285
RCP45_2044,26.867345134299637,62.80678723515419,33.900065250952096,15.289866012232233
RCP45_2045,19.978755315091544,62.41586088654989,31.229493116986657,16.985524964692505
RCP45_2046,9.803754361693953,67.64359940843381,35.36884776444857,13.862570022968228
RCP45_2047,23.21495557575048,54.129241470573135,31.7087050908119,13.297918896419882
RCP45_2048,24.863508285235394,68.73158104476607,29.67688874279781,14.521243503067614
RCP45_2049,32.12320797329002,58.0869227506282,30.854270400164612,14.922312432266807
RCP45_2050,28.350733769673088,64.06372502382193,32.02264362731554,13.867229480029808
RCP45_2051,26.59784112767693,58.74426184030735,32.895981866256385,11.540278817918862
RCP45_2052,21.881858692691427,60.35210134283492,30.53850338119913,12.268982455142892
RCP45_2053,21.127215924637472,60.23924317917187,29.963766705170315,13.4351977274253
RCP45_2054,23.36830580069514,58.90657779681484,31.507179175618855,12.578396349675602
RCP45_2055,22.80719044643689,46.95428725313758,29.13872112917782,11.57937605895516
RCP45_2056,26.727601157363505,63.30953161584514,32.91205656734021,15.705274817126691
RCP45_2057,27.749953117363997,54.08940691837523,31.087117902979386,12.621515171556268
RCP45_2058,18.98877545535625,50.143119005308115,29.50471697739145,12.894618962141754
RCP45_2059,24.712369889816944,60.24676017933479,30.03017181590485,15.125124871396979
RCP45_2060,23.750763572620926,47.37431639105316,28.496933122563547,12.527380871664334
RCP45_2061,23.008779431749446,47.322127915911494,28.394174419760095,14.395117985837478
RCP45_2062,23.046287074080084,51.44158951848352,29.322152524043204,11.960977670367512
RCP45_2063,21.643540194847176,58.695891825141395,27.90738096405276,11.304178502496029
RCP45_2064,16.76003412624873,52.21498209498764,29.382922030878223,10.110002651234161
RCP45_2065,19.385927735817123,62.249749980066674,27.512198622336488,13.502490635906716
RCP45_2066,22.075022958104842,71.45910330248331,31.144459587777007,12.264429553181074
RCP45_2067,25.357753497634103,49.954508664183,31.640185560912496,13.207135366709297
RCP45_2068,21.973023731961927,53.939433751712585,28.38999878699992,11.473416953640799
RCP45_2069,21.62736767343426,62.09421325557298,31.20135523164319,13.00923075537608
RCP45_2070,22.499429063043426,48.41455894759292,31.210948457504816,13.909071123336227
RCP45_2071,28.632011466570862,62.91972570734032,29.37089749294952,12.499000046000022
RCP45_2072,23.966653203852953,59.377614222607086,30.159373672439397,12.320741201124662
RCP45_2073,21.638029772186073,61.56683231149032,30.325143988376563,12.63492763684174
RCP45_2074,21.552898871703928,57.62151804319694,30.401815656000462,12.09173823489688
RCP45_2075,24.34865052655424,46.84295831128145,31.976079126850475,11.965462568413153
RCP45_2076,20.82809325264074,52.43522812101915,31.104436614268305,12.741450669983905
RCP45_2077,26.004044351065403,53.36360408749285,29.75662358497257,14.782828164500387
RCP45_2078,27.63504781155703,54.899691824391766,31.470858507424378,14.676935856071216
RCP45_2079,27.099458759382486,51.865801443946616,30.540171038549882,11.680333665813691
RCP45_2080,25.474506173006954,50.494801872850644,28.95892395775252,11.47824982393139
RCP45_2081,23.314151162448102,53.69172452465953,29.709817216311635,13.395164218792985
RCP45_2082,18.544925840630693,56.801670507654414,29.650231664553473,15.085663204637704
RCP45_2083,23.84926269292036,47.18078433891429,27.678771364984147,9.879678776822306
RCP45_2084,24.264317650867458,42.14214730123686,27.78164197215543,13.578122019682171
RCP45_2085,22.692776052587003,49.844191700755424,28.408943512659402,12.514651302511203
RCP45_2086,24.147611625421337,56.38729948828934,30.265283127877012,13.114018306256133
RCP45_2087,22.609172939571394,57.92380242712301,30.788274154483265,11.429164161300852
RCP45_2088,21.95107455931063,44.614415031563986,27.850674188698466,11.511651654755191
RCP45_2089,18.153529179589047,51.28953738950802,29.016219652279556,10.737559966184747
RCP45_2090,19.5847423420262,57.85075402257301,28.649478635040865,11.774604035502009
RCP45_2091,21.571055783227347,60.41941552348765,29.907121867374652,12.880308147604582
RCP45_2092,23.961588492046328,41.68710068158838,28.900100771430008,11.320932103641553
RCP45_2093,22.35828892043557,55.95659449114758,31.250854579792364,14.285750868360923
RCP45_2094,22.458209896093592,51.024490150612536,34.32045864089351,14.027404277257041
RCP45_2095,28.894531000646875,54.55300582853253,32.78838375033241,11.841419664118815
RCP45_2096,20.96465719963064,48.83874858988642,30.944363755829006,17.087170983920817
RCP45_2097,28.190120488088336,58.804871962302464,37.16950218645423,15.02435361902937
RCP45_2098,20.85436520272482,57.48510029772299,32.04645181338628,11.851830923077136
RCP45_2099,18.92221653131956,56.98213518638389,34.925231115657276,16.581290226949402
