,NPPz DJF,NPPz MAM,NPPz JJA,NPPz SON
RCP85_2036,25.13733987909352,57.253833243815485,30.050806893675556,13.051069475508518
RCP85_2037,29.829833608228558,52.70096042798673,32.22729604541629,14.127701597123787
RCP85_2038,25.926399692409916,52.177590326512245,27.93802069245237,11.356340218919996
RCP85_2039,20.894883521476704,51.293244719465925,29.79065979519018,11.627492258863738
RCP85_2040,26.247176823187832,43.62596055619398,33.95210433134825,12.917788446594363
RCP85_2041,21.97827126922158,61.589399949008886,30.008304386302672,14.171678421673759
RCP85_2042,22.053900555286997,56.50375491901983,31.94405876039445,16.211513721228183
RCP85_2043,19.029189393562877,68.49175204203178,29.528774570432773,13.373346057217091
RCP85_2044,21.470490564091335,58.37760172320181,32.16902028249123,12.745193336338906
RCP85_2045,21.911418120201905,65.24844628059644,29.304036704365057,12.584470302690837
RCP85_2046,24.646492876418808,57.214367017336826,30.995777857078863,13.68401684618736
RCP85_2047,30.786950027487347,55.97407054493672,29.772198680576086,13.182246955468104
RCP85_2048,24.003953122426037,64.34929878236893,31.217483522649456,13.16184948398037
RCP85_2049,24.799204220666216,54.1433644360452,31.37320116511309,12.194721402554764
RCP85_2050,27.582100840319878,41.823731791134165,28.14083788360088,11.743193202368282
RCP85_2051,20.488977888012105,58.662052028775264,30.449473638990394,12.553300416586017
RCP85_2052,21.07502547851536,37.74793004863036,27.951900520413016,14.279085658965526
RCP85_2053,27.24223720933971,60.90808480591797,30.986224841289072,11.828970055973732
RCP85_2054,22.297335408623677,58.12356316315854,29.333800693358384,14.558888949067862
RCP85_2055,17.335125629951957,47.65946998003678,27.295203366215247,13.560640774840266
RCP85_2056,23.75618961805378,51.576369620578056,28.153891736420046,13.065534236312452
RCP85_2057,24.246608600353685,52.80792351092208,28.721395650887526,11.805106183634587
RCP85_2058,25.894327161702332,45.11491364304689,28.884273421719453,14.545632173239175
RCP85_2059,29.290780357024513,56.62211613061862,31.900416188076377,15.147717981320698
RCP85_2060,22.278863570388253,50.85670876919411,27.831465299418426,11.793061191940469
RCP85_2061,20.423284681621038,59.648231654640576,33.051434359413705,13.93950267394952
RCP85_2062,24.16713949929823,62.288470935646615,30.143825225126964,13.836063106954226
RCP85_2063,23.275385388799645,48.38684886918545,29.900924339183216,12.370040578253226
RCP85_2064,17.77252130466121,42.98132341515889,30.12965547103102,15.35245340952878
RCP85_2065,29.327779512293205,43.03186377237691,28.86119477923404,12.139351884366468
RCP85_2066,19.812511799733638,53.5429720141907,27.96469341023706,12.008211206187644
RCP85_2067,21.173172429635027,40.97041407293013,28.528488576510487,11.588853925117634
RCP85_2068,24.73579736417265,42.75035202857748,28.60250885769612,15.07919386932837
RCP85_2069,20.731168638944727,52.28233762689763,26.66401207562782,11.237232317316002
RCP85_2070,20.364236149644015,40.69386647328725,25.80431154092808,11.681300501905065
RCP85_2071,22.74806084576616,54.451568755347786,29.90509681262519,11.03853201283542
RCP85_2072,17.15840817888564,55.21921808022651,32.31434883438546,12.272752344427902
RCP85_2073,19.480093220639755,52.28862422150556,29.6273746111778,12.700024399047058
RCP85_2074,21.601258878853542,51.305341812302295,28.02016243289729,11.945900858985654
RCP85_2075,17.430021389658645,37.55260365755529,27.67537543446451,13.247749167058643
RCP85_2076,24.879768397911125,48.78886103974577,27.824060485917766,10.464832751857573
RCP85_2077,17.524160795258943,49.18549263649738,28.605081047736643,12.888271708732006
RCP85_2078,19.881340379729536,47.662050119997595,29.601101573662238,15.866531131290301
RCP85_2079,28.138346550095065,45.57897983832918,28.01316744655075,17.02822851740493
RCP85_2080,26.600267452206946,60.88366962248937,30.00670511154848,12.03876341593085
RCP85_2081,21.04348505656826,50.51667236327208,28.881986494841843,11.195528138564994
RCP85_2082,24.738464718320586,49.96475173216004,28.63252862066429,12.145079003197479
RCP85_2083,25.333767294310434,43.54004228456123,27.681741571182716,15.89747750296844
RCP85_2084,25.003742492213945,54.16811911124747,30.19751113217183,13.434239182177713
RCP85_2085,20.502547058965845,41.40918744198746,31.30110584513481,17.23747110796558
RCP85_2086,28.060411294517298,56.00484464602394,32.309714729202454,11.389613813918741
RCP85_2087,21.284848850908265,52.88925551468038,33.65672862298873,14.395449190803335
RCP85_2088,23.528684765606556,50.02134943651581,29.085585307275753,10.940295636091479
RCP85_2089,19.839300904123167,47.817359520944,26.86975577444878,10.790463124919086
RCP85_2090,20.40227758806161,43.52406464655445,29.200770066048932,9.711280080751473
RCP85_2091,18.677924309223144,52.32420749682799,30.477595177953248,14.392143129551307
RCP85_2092,32.18982798750315,48.358195357633186,30.49624104648508,12.891625537679651
RCP85_2093,15.4738494921012,37.914838909091905,30.028809713144227,14.047236173188821
RCP85_2094,25.415624945200168,47.61496094385651,28.545151772928865,12.67270010653477
RCP85_2095,21.59211401180805,47.19518493799211,28.476317444764188,12.982999878361786
RCP85_2096,22.736074577978172,63.706966986280975,31.640244714561067,16.454086845048653
RCP85_2097,25.150208234833688,55.20818645382428,30.864672213754066,13.730091063710027
RCP85_2098,25.857353407157735,58.72919119475639,30.133632121682947,14.693550514030463
RCP85_2099,23.881627459551243,50.45463792010441,32.67813786528927,17.75351838284939
