,Target,x1,x2,x3,x4,x5,x6,x7
UNIT,m,m,s,mol,K,A,kg,cd
HIST_1986,31.82082490529877,12.588674774171116,12.584121431503132,12.38773514115836,12.319586727569014,12.389322966526247,12.45798720611843,12.505155127361236
HIST_1987,30.095264211096985,12.523673352939332,12.509582480840605,12.471368848853771,12.60025730588208,12.49415432346211,12.555671420984076,12.574911073765817
HIST_1988,30.8671131573908,12.337442359442443,12.414170755224028,12.496014451653744,12.392494225630378,12.541276437442349,12.420077110387194,12.345749045232692
HIST_1989,30.75302676007411,12.555756400581458,12.515230265270509,12.40735817401581,12.473190945781605,12.54682854702686,12.53651639591642,12.527078797917005
HIST_1990,33.48412384835502,12.401336604907035,12.403957255878602,12.334161666258009,12.364910418577818,12.386012998528878,12.379666758669028,12.37978197116546
HIST_1991,30.41492978051738,12.357071020236251,12.393160839384626,12.343337821728142,12.39567089459666,12.476120874688462,12.474401674685058,12.44974398510101
HIST_1992,32.94540243476157,12.728616608752487,12.692305568387528,12.602200205375116,12.601524149531874,12.602421842053356,12.617241569833848,12.624297130153138
HIST_1993,30.761204731747725,12.615845389300716,12.470054916362372,12.517688578343463,12.457977383811391,12.403134259187446,12.436288702354105,12.484868279045273
HIST_1994,33.4442703416498,12.5726408931772,12.465958105615684,12.516647315581498,12.598564552836947,12.662952635802116,12.645195019439598,12.594240093729583
HIST_1995,32.97526127985182,12.683971491328432,12.646575219173302,12.59764100830608,12.556769883500234,12.562864571974398,12.514091349300855,12.650440899331723
HIST_1996,36.73731599245168,12.50583887428938,12.416636532954309,12.480436172469162,12.36266709964298,12.331975944419735,12.42815576585841,12.59612717479188
HIST_1997,31.866547262868792,12.446400898296057,12.430587299847485,12.30928435590499,12.349795909232157,12.355399863137608,12.430874342792658,12.586706266344429
HIST_1998,30.73327750955997,12.611114320516418,12.5219520379931,12.529904899003052,12.518203820651191,12.558776541049918,12.62338714696979,12.677359225129532
HIST_1999,32.746070524263644,12.62153071297162,12.653303852247369,12.494846595719777,12.523660305078828,12.567895521820214,12.564759684784296,12.62338332193432
HIST_2000,29.194812566183767,12.607147868852577,12.630433049077071,12.534293551033972,12.472445021017515,12.570912079746837,12.574633232040943,12.575206763039548
HIST_2001,31.831984689888067,12.6212258008428,12.5920055072561,12.558899413886204,12.498700116998537,12.499966223123945,12.657928234582611,12.609059155330248
HIST_2002,30.012200651364758,12.642438510058746,12.669078080570332,12.646580460429274,12.633498926238817,12.602176491440051,12.60448212799603,12.68403584314558
HIST_2003,29.432917877505822,12.602885459151135,12.543308502696084,12.544553624217242,12.343071824051412,12.432520744396829,12.52558785468839,12.66876236085344
HIST_2004,32.233026367717166,12.629462923359046,12.624512604890496,12.610711211294868,12.59050216811462,12.52627817646274,12.57154047875834,12.58937609578015
HIST_2005,30.720422049654275,12.613977613607055,12.539999897538358,12.562209034516204,12.607984588743877,12.603179862239053,12.581121624791743,12.649525072662966
RCP85_2006,30.54555004707557,12.63791121046062,12.6282460116841,12.593420261878157,12.5757499885425,12.501520443514451,12.53993171401259,12.55339300168728
RCP85_2007,32.7709498471195,12.622953995206275,12.494476704857268,12.465574998698944,12.447142817490867,12.567554646421575,12.51463474477757,12.633007570982674
RCP85_2008,32.510884200387856,12.530615594501327,12.485634105211592,12.497509310479874,12.358644267297668,12.377015287373016,12.356640078825269,12.393026719230129
RCP85_2009,31.2463775512209,12.522715538819869,12.456627032691896,12.430608481379952,12.441904970294717,12.526075845721277,12.543084315000009,12.580212458403928
RCP85_2010,31.84424980269296,12.686796439591124,12.555409428270725,12.595289958425706,12.581484975359633,12.58101583094872,12.643933441103671,12.64541184008261
